city,lat,lng,population
Chhatarpur,24.75,79.75,1762375
Jamui,24.92082,86.17538,1760405
Surendranagar,22.75,71.66667,1756268
Nashik,19.982,73.76883,1755491
Shimoga,14.05,75.16,1752753
Thoothukkudi,8.8375,77.963,1750176
Hisār,29.16667,75.75,1743931
Cāchār,24.78213,92.85771,1736617
Hazārībāg,24,85.25,1734495
Rasapūdipalem,17.73308,83.31622,1728128
Pimpri-Chinchwad,18.61867,73.80375,1727692
Anakapalli,17.67803,82.79109,1726998
Namakkal,11.3,78.13,1726601
Shivpurī,25.5,78,1726050
West Tripura,23.91667,91.5,1725739
Konaseema,16.6422,82.08271,1719093
Buxar,25.5,84.1,1706352
Valsād,20.5,73.08333,1705678
Bīdar,18.08333,77.33333,1703300
Bhind,26.5,78.75,1703005
Bālāghāt,21.96667,80.33333,1701698
Alipurduar,26.49136,89.52796,1700000
Puri,19.9,85.6,1698730
Annamayya,13.90949,78.64818,1697308
Dehradun,30.33,78.06,1696694
Barpeta,26.30795,90.9971,1693622
Kishanganj,26.3,88,1690400
Jālaun,26,79.5,1689974
Kallakurichi,11.73379,78.95925,1682687
Dakshin Dinajpur,25.22,88.76,1676276
Khagaria,25.5,86.6,1666886
Chitradurga,14.2,76.5,1659456
Osmanabad,18.25,76.16667,1657576
Kannauj,27.0177,79.67846,1656616
Sangrur,30.25,75.85,1655169
Balāngīr,20.75,83.25,1648997
Udham Singh Nagar,29.02746,79.52347,1648902
Nandurbar,21.37,74.2,1648295
Gautam Buddha Nagar,28.35898,77.55076,1648115
Moradabad,28.90812,78.8148,1646613
Bhiwani,28.75,76.16667,1634445
Dausa,26.88269,76.57053,1634409
Janjgir-Champa,21.9,82.7,1619707
Pudukkottai,10.35,78.9,1618345
Nagapattinam,10.85,79.74,1616450
Ratnagiri,17,73.5,1615069
Vellore,12.86,79.035,1614242
Haveri,14.73732,75.41062,1597668
Bapatla,15.93276,80.3865,1586918
Hoshiarpur,31.66,75.85,1586625
Etāwah,26.75,79.25,1581810
Bally Jagachha,22.61123,88.32351,1579952
Bhadohi,25.35792,82.4308,1578213
Kālāhandi,19.75,83,1576869
Betūl,21.83333,77.83333,1575362
Kalyan,19.2705,73.23359,1565417
Dewas,23,76.16667,1563715
Bharūch,21.75,73,1551019
Rājgarh,23.83333,76.75,1545814
Chittaurgarh,24.5,74.5,1544338
Rāj Nāndgaon,21.16667,81,1537133
Kolar,13.13,78.23,1536401
Jammu,32.75,74.83333,1529958
Kāmrūp,26.22322,91.65344,1517542
Amreli,21.50789,71.18323,1514190
Shājāpur,23.5,76.25,1512681
Kāngra,32.16667,76.25,1510075
Dharmapuri,12.13,78.24,1506843
Bhadrak,21,86.6,1506337
Karnāl,29.66667,76.83333,1505324
Pashchim Singhbhūm,22.5,85.5,1502338
Deogarh,24.44382,86.72607,1492073
Baragarh,21.33333,83.61667,1481255
Vidisha,23.91667,78,1458875
Goa,15.33333,74.08333,1458545
Karauli,26.58,77.1,1458248
Ratlām,23.58333,75.16667,1455069
Sonīpat,29,76.91667,1450001
Tīkamgarh,24.75,79,1445166
Kendrapara,20.5,86.5,1440361
Tirunelveli,8.72742,77.6838,1435844
Saraswati Vihar,28.69783,77.13208,1428680
Poonamallee,13.07909,80.0852,1425290
Badkhal,28.41011,77.28686,1422548
Tonk,26.16667,75.58333,1421326
Madukkari,10.90671,76.98099,1416616
Amritsar II,31.62384,74.77253,1415214
Faridabad,28.41124,77.31316,1414050
Bastar,19.26794,81.73828,1413199
Jhālāwār,24.41667,76.25,1411129
Allahabad,25.43867,81.77464,1395816
Gāndhīnagar,23.21484,72.64984,1391753
Koppal,15.5,76.2,1389920
Saharanpur,30.01715,77.61515,1389319
Dūngarpur,23.75,73.85,1388552
Bathinda,30.21,75.03,1388525
Barwani,22.02485,74.91805,1385881
Koraput,19,83,1379647
Auraiya,26.64692,79.42858,1379545
Seonī,22.41667,79.66667,1379131
Munger,25.36099,86.46515,1367765
Najafgarh,28.60922,76.97982,1365000
Vijayanagar,14.94249,76.04406,1353628
Rāmanāthapuram,9.37,78.7,1353445
Patan,23.7,71.8,1343734
Vasai,19.43819,72.88031,1343402
Mandsaur,24.15121,75.36397,1340411
Jamshedpur,22.80278,86.18545,1339438
Sivaganga,9.92762,78.53763,1339101
Sawāi Mādhopur,26.18,76.4,1335551
Jīnd,29.5,76.25,1334152
Raisen,23.25,78.08333,1331597
Navsari,20.95,72.92,1329672
Tinsukia,27.6,95.6,1327929
Dibrugarh,27.5,95,1326335
Garhwa,24.07494,83.71023,1322784
Gondiya,21.05,80.25,1322507
Dumka,24.3,87.25,1321442
Kanke,23.41792,85.33964,1317499
Godda,24.83333,87.21667,1313551
Sehore,22.99114,77.12849,1311332
Bhadradri Kothagudem,17.5546,80.61976,1304811
Baghpat,28.95,77.2167,1303048
Wardha,20.83333,78.6,1300774
Sirsa,29.58333,75.08333,1295189
Katni,23.83555,80.39417,1292042
Pimpri,18.62292,73.80696,1284606
Thiruvarur,10.66,79.55,1264277
Damoh,23.75,79.58333,1264219
Kalyān,19.2437,73.13554,1262255
Patel Nagar,28.63556,77.05827,1262158
